file,topology,distance_m,payload_bytes,total_packets,received_packets,lost_packets,packet_loss_percent,duration_sec,latency_avg_ms,latency_min_ms,latency_max_ms,latency_std_ms,throughput_bps,throughput_kbps,missing_seq,missing_seq_count
2x2_1m_128B.csv,2x2,1,128,500,496,4,0.8,1509.041,2073.018,2.28,1010995.687,45393.769,336.574,0.337,0 2 5 351,4
2x2_1m_512B.csv,2x2,1,512,500,497,3,0.6,499.096,125.834,11.375,813.858,77.173,4078.801,4.079,28 46 60,3
2x2_1m_1024B.csv,2x2,1,1024,500,494,6,1.2,1409.91,51.585,6.647,2609.599,225.876,2870.288,2.87,59 118 151 179 187 228,6
2x2_3m_128B.csv,2x2,3,128,500,494,6,1.2,601.816,238.306,12.544,4572.1,469.058,840.549,0.841,62 119 120 181 250 252,6
2x2_3m_512B.csv,2x2,3,512,500,494,6,1.2,499.113,-1137546.279,-1387329.375,-888216.375,144844.742,4054.04,4.054,147 169 180 181 214 468,6
2x2_3m_1024B.csv,2x2,3,1024,500,497,3,0.6,4293.948,-46225.543,-214600.016,1670.472,67344.367,948.177,0.948,150 160 468,3
2x2_5m_128B.csv,2x2,5,128,500,486,14,2.8,486.818,25.422,6.662,408.412,34.885,1022.28,1.022,0 1 2 3 4 5 6 7 8 9 10 11 313 322,14
2x2_5m_512B.csv,2x2,5,512,500,496,4,0.8,548.462,547.274,5.347,16756.939,1983.144,3704.205,3.704,69 105 135 475,4
2x2_5m_1024B.csv,2x2,5,1024,500,497,3,0.6,499.039,-171219.282,-2147464.5,2479.811,579435.251,8158.535,8.159,275 367 491,3
3x3_1m_128B.csv,3x3,1,128,500,498,2,0.4,500.121,-1153119.874,-1403117.0,-902996.375,144822.029,1019.658,1.02,191 243,2
3x3_1m_512B.csv,3x3,1,512,500,498,2,0.4,576.53,-1560256.546,-2146848.25,314.885,780174.445,3538.08,3.538,42 352,2
3x3_1m_1024B.csv,3x3,1,1024,500,500,0,0.0,499.036,69.479,11.349,4066.589,334.763,8207.818,8.208,,0
3x3_3m_128B.csv,3x3,3,128,500,499,1,0.2,4293.967,-470.963,-21579.869,304.382,2641.711,118.999,0.119,105,1
3x3_3m_512B.csv,3x3,3,512,500,498,2,0.4,800.698,134.711,4.655,599.509,84.357,2547.538,2.548,255 466,2
3x3_3m_1024B.csv,3x3,3,1024,500,499,1,0.2,568.827,124.913,15.61,6305.575,541.397,7186.387,7.186,176,1
3x3_5m_128B.csv,3x3,5,128,500,498,2,0.4,641.692,39.106,3.311,1463.431,137.045,794.698,0.795,190 309,2
3x3_5m_512B.csv,3x3,5,512,500,499,1,0.2,816.224,-19635.222,-1992703.875,3295.186,198298.214,2504.095,2.504,419,1
3x3_5m_1024B.csv,3x3,5,1024,500,498,2,0.4,534.907,-1552753.712,-1836927.75,-1302020.75,146254.546,7626.776,7.627,187 379,2
